Front	Back	Tags
Network address	All host bits set to 0. Identifies the subnet. NOT assignable to a host. <br><br><span style="color:#888">1.6.a.5 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.a weight_high
Broadcast address	All host bits set to 1. Reaches all hosts in the subnet. NOT assignable to a host. <br><br><span style="color:#888">1.6.a.6 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.a weight_high
AND operation	IP AND subnet mask = network address. How a router determines which subnet an IP belongs to. <br><br><span style="color:#888">1.6.a.7 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.a weight_high
IPv4 address space	2^32 ≈ 4.3 billion addresses total. Exhaustion drove IPv6 creation. <br><br><span style="color:#888">1.6.a.8 · weight: med</span>	ccna domain1 topic1.6 subtopic1.6.a weight_med
Class A	First octet 1-126. Default /8. Leading bit 0. ~16.7M hosts/network. Example: 10.0.0.0/8. <br><br><span style="color:#888">1.6.b.1 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.b weight_high
Class B	First octet 128-191. Default /16. Leading bits 10. 65,534 hosts/network. Example: 172.16.0.0/16. <br><br><span style="color:#888">1.6.b.2 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.b weight_high
Class C	First octet 192-223. Default /24. Leading bits 110. 254 hosts/network. Example: 192.168.1.0/24. <br><br><span style="color:#888">1.6.b.3 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.b weight_high
Class D	First octet 224-239. Leading bits 1110. Reserved for multicast. Not assignable to hosts. <br><br><span style="color:#888">1.6.b.4 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.b weight_high
Class E	First octet 240-255. Leading bits 1111. Experimental/reserved. Never publicly assigned. <br><br><span style="color:#888">1.6.b.5 · weight: med</span>	ccna domain1 topic1.6 subtopic1.6.b weight_med
127.0.0.0/8 gap	127 is NOT Class A — it's loopback. Exam trick: first-octet ranges skip 127. <br><br><span style="color:#888">1.6.b.6 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.b weight_high
CIDR replaced classful	1993. CIDR = Classless Inter-Domain Routing. Allows any mask length, not just class defaults. <br><br><span style="color:#888">1.6.b.7 · weight: med</span>	ccna domain1 topic1.6 subtopic1.6.b weight_med
Subnet mask format	32-bit value. Contiguous 1s (network) followed by contiguous 0s (host). 0 after 1 is INVALID. <br><br><span style="color:#888">1.6.c.1 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.c weight_high
CIDR /n notation	Counts the 1-bits. /24 = 24 ones = 255.255.255.0. Must convert instantly both directions. <br><br><span style="color:#888">1.6.c.2 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.c weight_high
/24 mask	255.255.255.0. 256 addresses, 254 usable hosts. Class C default. <br><br><span style="color:#888">1.6.c.3 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.c weight_high
/25 mask	255.255.255.128. 128 addresses, 126 usable hosts. Block size 128. <br><br><span style="color:#888">1.6.c.4 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.c weight_high
/26 mask	255.255.255.192. 64 addresses, 62 usable hosts. Block size 64. <br><br><span style="color:#888">1.6.c.5 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.c weight_high
/27 mask	255.255.255.224. 32 addresses, 30 usable hosts. Block size 32. <br><br><span style="color:#888">1.6.c.6 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.c weight_high
/28 mask	255.255.255.240. 16 addresses, 14 usable hosts. Block size 16. <br><br><span style="color:#888">1.6.c.7 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.c weight_high
/29 mask	255.255.255.248. 8 addresses, 6 usable hosts. Block size 8. <br><br><span style="color:#888">1.6.c.8 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.c weight_high
/30 mask	255.255.255.252. 4 addresses, 2 usable. Standard for point-to-point links. <br><br><span style="color:#888">1.6.c.9 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.c weight_high
/31 mask	255.255.255.254. 2 addresses, 2 usable (RFC 3021). P2P-only. <br><br><span style="color:#888">1.6.c.10 · weight: med</span>	ccna domain1 topic1.6 subtopic1.6.c weight_med
/32 mask	255.255.255.255. Single host route. <br><br><span style="color:#888">1.6.c.11 · weight: med</span>	ccna domain1 topic1.6 subtopic1.6.c weight_med
Block size method	Block size = 256 − interesting-octet mask value. Subnets start at multiples of block size. <br><br><span style="color:#888">1.6.d.1 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.d weight_high
Interesting octet	The octet where the mask transitions from 1s to 0s. Do your math here. <br><br><span style="color:#888">1.6.d.2 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.d weight_high
Find network address	Round IP's interesting octet DOWN to the nearest multiple of the block size. All host bits = 0. <br><br><span style="color:#888">1.6.d.3 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.d weight_high
Find broadcast address	Next network − 1. Or: all host bits = 1. <br><br><span style="color:#888">1.6.d.4 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.d weight_high
First usable host	Network address + 1. <br><br><span style="color:#888">1.6.d.5 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.d weight_high
Last usable host	Broadcast address − 1. <br><br><span style="color:#888">1.6.d.6 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.d weight_high
Subnets formula	Number of subnets = 2^(borrowed bits). Each borrowed bit doubles subnets. <br><br><span style="color:#888">1.6.e.1 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.e weight_high
Hosts formula	Hosts per subnet = 2^(host bits) − 2. Minus 2 for network and broadcast. <br><br><span style="color:#888">1.6.e.2 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.e weight_high
Borrowed bits	Bits taken from host portion and given to network portion. Mask /26 from /24 default = 2 borrowed. <br><br><span style="color:#888">1.6.e.3 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.e weight_high
Host-count column (Class C)	/25=126, /26=62, /27=30, /28=14, /29=6, /30=2. Memorize cold. <br><br><span style="color:#888">1.6.e.4 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.e weight_high
Round up to power of 2	Need 50 hosts → 2^6 − 2 = 62 (fits). Always round UP to the next fitting power. <br><br><span style="color:#888">1.6.e.5 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.e weight_high
VLSM	Variable Length Subnet Mask. Use different mask lengths within one major network to right-size each subnet. <br><br><span style="color:#888">1.6.f.1 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.f weight_high
Largest-first rule	Always allocate the largest required subnet first, then next-largest, and so on. <br><br><span style="color:#888">1.6.f.2 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.f weight_high
No overlaps / no gaps	Each new subnet starts right after the previous subnet's broadcast address. <br><br><span style="color:#888">1.6.f.3 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.f weight_high
Classless routing required	OSPF, EIGRP, RIPv2 support VLSM. They include subnet mask in routing updates. <br><br><span style="color:#888">1.6.f.4 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.f weight_high
RIPv1 / IGRP	Classful protocols — CANNOT support VLSM. Assume default classful mask. <br><br><span style="color:#888">1.6.f.5 · weight: med</span>	ccna domain1 topic1.6 subtopic1.6.f weight_med
/30 for P2P links	Exactly 2 usable hosts. Standard for router-to-router serial/point-to-point. <br><br><span style="color:#888">1.6.f.6 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.f weight_high
Positional values (128-1)	128, 64, 32, 16, 8, 4, 2, 1. Powers of 2 from 2^7 to 2^0. Sum to 255. The 'magic 8'. <br><br><span style="color:#888">1.6.g.1 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.g weight_high
Binary → decimal	Sum the positional values of all 1-bits. 11001010 = 128+64+8+2 = 202. <br><br><span style="color:#888">1.6.g.2 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.g weight_high
Decimal → binary	Subtract largest fitting power of 2, mark a 1, repeat. Always write all 8 bits. <br><br><span style="color:#888">1.6.g.3 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.g weight_high
9 valid mask octet values	0, 128, 192, 224, 240, 248, 252, 254, 255. Each adds one more 1-bit from the left. <br><br><span style="color:#888">1.6.g.4 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.g weight_high
Hex digit = 4 bits	Each hexadecimal character represents exactly 4 bits. 0-9 = 0-9, A-F = 10-15. <br><br><span style="color:#888">1.6.g.5 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.g weight_high
Hex A-F values	A=10, B=11, C=12, D=13, E=14, F=15. <br><br><span style="color:#888">1.6.g.6 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.g weight_high
Hex → decimal	Multiply each digit by its positional 16-value. 0xCA = C(12)×16 + A(10)×1 = 202. <br><br><span style="color:#888">1.6.g.7 · weight: med</span>	ccna domain1 topic1.6 subtopic1.6.g weight_med
show ip interface brief	Compact table of all interfaces: IP, Status (L1), Protocol (L2). First stop for connectivity issues. <br><br><span style="color:#888">1.6.h.1 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.h weight_high
show ip route	Full routing table. Route source code, network, AD/metric, next-hop, interface, age. <br><br><span style="color:#888">1.6.h.2 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.h weight_high
Route code C (Connected)	Auto-added when interface comes up/up. AD 0. <br><br><span style="color:#888">1.6.h.3 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.h weight_high
Route code L (Local)	/32 host route for the router's own interface IP. <br><br><span style="color:#888">1.6.h.4 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.h weight_high
Route code S (Static)	Manually configured static route. AD 1. <br><br><span style="color:#888">1.6.h.5 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.h weight_high
Route codes O / D / R	O = OSPF, D = EIGRP (Dual-algorithm), R = RIP. Dynamically learned routes. <br><br><span style="color:#888">1.6.h.6 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.h weight_high
S* (candidate default)	Static default route (0.0.0.0/0) marked as candidate for gateway of last resort. <br><br><span style="color:#888">1.6.h.7 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.h weight_high
ping	ICMP Echo Request. !!!!! = success, ..... = failure, U = unreachable. L3 reachability test. <br><br><span style="color:#888">1.6.h.8 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.h weight_high
traceroute / tracert	Shows every hop along the path to destination. Identifies where packets drop. <br><br><span style="color:#888">1.6.h.9 · weight: high</span>	ccna domain1 topic1.6 subtopic1.6.h weight_high
10.0.0.0/8 range	Private Class A. All 10.x.x.x addresses. 16,777,214 hosts. Largest RFC 1918 range. <br><br><span style="color:#888">1.7.a.1 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.a weight_high
Enterprise use of 10/8	Dominant internal range for large enterprises, data centers, cloud providers. CoreWeave, AWS, Azure. <br><br><span style="color:#888">1.7.a.2 · weight: med</span>	ccna domain1 topic1.7 subtopic1.7.a weight_med
Not internet-routable	Internet routers drop packets with 10.x.x.x source or destination. Requires NAT to reach internet. <br><br><span style="color:#888">1.7.a.3 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.a weight_high
172.16.0.0/12 range	Valid range is 172.16.0.0 through 172.31.255.255. NOT 172.0-172.255. <br><br><span style="color:#888">1.7.b.1 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.b weight_high
/12 binary explanation	First 12 bits fixed. Second octet has 4 free bits = 0000(16) through 1111(31). <br><br><span style="color:#888">1.7.b.2 · weight: med</span>	ccna domain1 topic1.7 subtopic1.7.b weight_med
Edge case: 172.15.x.x	PUBLIC. Below the 172.16 start of the private range. <br><br><span style="color:#888">1.7.b.3 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.b weight_high
Edge case: 172.32.x.x	PUBLIC. Above the 172.31 end of the private range. <br><br><span style="color:#888">1.7.b.4 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.b weight_high
Docker default	172.17.0.0/16 — Docker's default bridge network, within the RFC 1918 Class B block. <br><br><span style="color:#888">1.7.b.5 · weight: low</span>	ccna domain1 topic1.7 subtopic1.7.b weight_low
192.168.0.0/16 range	Private Class C. All 192.168.x.x addresses. 65,534 hosts. Familiar from home networks. <br><br><span style="color:#888">1.7.c.1 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.c weight_high
Home router default	Almost every consumer router uses 192.168.0.0/24 or 192.168.1.0/24 with gateway .1. <br><br><span style="color:#888">1.7.c.2 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.c weight_high
192.168 vs 192.169 boundary	192.168.x.x = PRIVATE. 192.169.x.x = PUBLIC. Exact boundary on second octet. <br><br><span style="color:#888">1.7.c.3 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.c weight_high
RFC 1918	Defines the three private IPv4 ranges: 10/8, 172.16/12, 192.168/16. Not routable on public internet. <br><br><span style="color:#888">1.7.d.1 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.d weight_high
NAT	Network Address Translation. Rewrites IP addresses at a boundary so private addresses can reach the internet. <br><br><span style="color:#888">1.7.d.2 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.d weight_high
Static NAT	One-to-one permanent mapping. One private IP ↔ one public IP. Used for servers needing consistent external access. <br><br><span style="color:#888">1.7.d.3 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.d weight_high
Dynamic NAT	Many-to-many from a pool. First-come basis. Exhausts if pool fills. <br><br><span style="color:#888">1.7.d.4 · weight: med</span>	ccna domain1 topic1.7 subtopic1.7.d weight_med
PAT / NAT Overload	Many-to-one using ports to differentiate. Command keyword 'overload'. What home routers do. <br><br><span style="color:#888">1.7.d.5 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.d weight_high
Inside Local	Private IP of internal host (e.g., 192.168.1.10). The 'real' internal address. <br><br><span style="color:#888">1.7.d.6 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.d weight_high
Inside Global	Public IP that internal host is translated to (e.g., 203.0.113.5). What the internet sees. <br><br><span style="color:#888">1.7.d.7 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.d weight_high
Outside Local	IP of external host as it appears from inside (usually same as Outside Global). <br><br><span style="color:#888">1.7.d.8 · weight: med</span>	ccna domain1 topic1.7 subtopic1.7.d weight_med
Outside Global	Actual public IP of the external host (e.g., 8.8.8.8). <br><br><span style="color:#888">1.7.d.9 · weight: med</span>	ccna domain1 topic1.7 subtopic1.7.d weight_med
show ip nat translations	View current NAT translation table. show ip nat statistics shows hit counts. <br><br><span style="color:#888">1.7.d.10 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.d weight_high
APIPA	Automatic Private IP Addressing. 169.254.0.0/16 link-local range. IPv4 fallback when DHCP fails. <br><br><span style="color:#888">1.7.e.1 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.e weight_high
APIPA meaning in practice	If you see 169.254.x.x on a host → DHCP server unreachable, no DHCP response received. <br><br><span style="color:#888">1.7.e.2 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.e weight_high
APIPA not routable	169.254.x.x is link-local only. Cannot reach other subnets or the internet. <br><br><span style="color:#888">1.7.e.3 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.e weight_high
APIPA on Windows/macOS	RFC 3927. Cisco devices do NOT use APIPA; unconfigured Cisco interfaces simply have no IP. <br><br><span style="color:#888">1.7.e.4 · weight: med</span>	ccna domain1 topic1.7 subtopic1.7.e weight_med
Troubleshooting APIPA	Check cable, DHCP service, 'ip helper-address' on gateway, then ipconfig /release + /renew. <br><br><span style="color:#888">1.7.e.5 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.e weight_high
127.0.0.0/8 loopback range	Entire /8 reserved for loopback. Traffic never leaves the local device. <br><br><span style="color:#888">1.7.f.1 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.f weight_high
127.0.0.1 / localhost	Most-used loopback address. Ping tests the local TCP/IP stack. <br><br><span style="color:#888">1.7.f.2 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.f weight_high
All 127.x.x.x is loopback	Exam trick: 127.5.5.5 is ALSO loopback. The whole /8 counts, not just .0.0.1. <br><br><span style="color:#888">1.7.f.3 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.f weight_high
Loopback address vs interface	127.0.0.1 (address) is NOT the same as a Cisco loopback interface (virtual, routable, used for router ID/BGP). <br><br><span style="color:#888">1.7.f.4 · weight: high</span>	ccna domain1 topic1.7 subtopic1.7.f weight_high
Ping order (bottom-up)	(1) ping 127.0.0.1 (stack), (2) own IP (NIC), (3) gateway (local link), (4) remote host (full path). <br><br><span style="color:#888">1.7.f.5 · weight: med</span>	ccna domain1 topic1.7 subtopic1.7.f weight_med
IPv6 address length	128 bits. 2^128 ≈ 340 undecillion addresses. 4× larger than IPv4's 32 bits. <br><br><span style="color:#888">1.8.a.1 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.a weight_high
Hextet	One of the 8 groups in an IPv6 address. 16 bits = 4 hex digits. Separated by colons. <br><br><span style="color:#888">1.8.a.2 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.a weight_high
IPv6 header size	Fixed 40 bytes. Simpler than IPv4 — no checksum, no fragmentation fields, options in extension headers. <br><br><span style="color:#888">1.8.a.3 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.a weight_high
No broadcast in IPv6	IPv6 eliminates broadcast entirely. Replaced by multicast and anycast. <br><br><span style="color:#888">1.8.a.4 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.a weight_high
SLAAC support	Hosts can generate their own addresses via Stateless Address Autoconfiguration. No DHCP required. <br><br><span style="color:#888">1.8.a.5 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.a weight_high
64/64 split	Standard IPv6 LAN: first 64 bits = network prefix, last 64 bits = interface ID. <br><br><span style="color:#888">1.8.a.6 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.a weight_high
Why IPv6	IPv4 exhaustion (last /8 allocated 2011). NAT added complexity. IPv6 removes need for NAT. <br><br><span style="color:#888">1.8.a.7 · weight: med</span>	ccna domain1 topic1.8 subtopic1.8.a weight_med
Rule 1: Drop leading zeros	Remove leading zeros in each hextet. 0DB8 → DB8, 0001 → 1, 0000 → 0. Must keep at least one digit. <br><br><span style="color:#888">1.8.b.1 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.b weight_high
Rule 2: Double colon ::	Replace ONE consecutive run of all-zero hextets with ::. Use for the longest run. <br><br><span style="color:#888">1.8.b.2 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.b weight_high
:: only ONCE	Double colon can only appear once per address. Two would be ambiguous. <br><br><span style="color:#888">1.8.b.3 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.b weight_high
Expanding ::	Count visible hextets; subtract from 8; fill :: with that many 0000 groups. <br><br><span style="color:#888">1.8.b.4 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.b weight_high
:: alone	The unspecified address (all zeros). Equivalent to IPv4 0.0.0.0. <br><br><span style="color:#888">1.8.b.5 · weight: med</span>	ccna domain1 topic1.8 subtopic1.8.b weight_med
::1 (loopback)	IPv6 loopback address. Equivalent to IPv4 127.0.0.1. <br><br><span style="color:#888">1.8.b.6 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.b weight_high
/64 standard LAN prefix	Every individual IPv6 LAN segment. Required for SLAAC (interface ID must be 64 bits). <br><br><span style="color:#888">1.8.c.1 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.c weight_high
/48 site allocation	Typical block from ISP to organization. 16 bits available for internal subnetting → 65,536 /64 subnets. <br><br><span style="color:#888">1.8.c.2 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.c weight_high
/127 point-to-point	Recommended for router-to-router P2P links (RFC 6164). 2 addresses, no waste. IPv6 analogue of IPv4 /30. <br><br><span style="color:#888">1.8.c.3 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.c weight_high
/128 host route	Single address. Used for loopback interfaces and specific host routes. <br><br><span style="color:#888">1.8.c.4 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.c weight_high
No subnet math (usually)	IPv6 standard LAN is always /64. You don't calculate IPv6 subnets on CCNA the way you do for IPv4. <br><br><span style="color:#888">1.8.c.5 · weight: med</span>	ccna domain1 topic1.8 subtopic1.8.c weight_med
SLAAC	Stateless Address Autoconfiguration. Host self-generates IPv6 address from RA prefix + interface ID. No DHCP required. <br><br><span style="color:#888">1.8.d.1 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.d weight_high
Router Solicitation (RS)	ICMPv6 Type 133. Host sends to FF02::2 asking for network config. <br><br><span style="color:#888">1.8.d.2 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.d weight_high
Router Advertisement (RA)	ICMPv6 Type 134. Router responds with prefix, default gateway (its link-local), and A/O/M flags. <br><br><span style="color:#888">1.8.d.3 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.d weight_high
EUI-64 interface ID	Generated from MAC by inserting FFFE in middle and flipping 7th bit. 64 bits. <br><br><span style="color:#888">1.8.d.4 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.d weight_high
Privacy extensions	RFC 7217. Random interface ID instead of EUI-64 to prevent MAC tracking. Default on modern OSes. <br><br><span style="color:#888">1.8.d.5 · weight: med</span>	ccna domain1 topic1.8 subtopic1.8.d weight_med
DAD (Duplicate Address Detection)	Host sends NS for its own address before claiming it. No reply = address is unique. <br><br><span style="color:#888">1.8.d.6 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.d weight_high
A-flag	Address Autoconfiguration flag in RA. A=1 tells host to use SLAAC for addressing. <br><br><span style="color:#888">1.8.d.7 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.d weight_high
Stateless DHCPv6	Hybrid: SLAAC provides the address, DHCPv6 provides DNS/domain/NTP. Server does NOT track address assignments. <br><br><span style="color:#888">1.8.e.1 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.e weight_high
O-flag	Other Configuration. O=1 in RA tells host to query DHCPv6 for DNS/other info (but not address). <br><br><span style="color:#888">1.8.e.2 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.e weight_high
FF02::1:2	All DHCPv6 servers/relay agents multicast address. Clients send Information-Request here. <br><br><span style="color:#888">1.8.e.3 · weight: med</span>	ccna domain1 topic1.8 subtopic1.8.e weight_med
RDNSS option (RFC 8106)	Recursive DNS Server option in RA. Modern alternative to stateless DHCPv6 for DNS. <br><br><span style="color:#888">1.8.e.4 · weight: low</span>	ccna domain1 topic1.8 subtopic1.8.e weight_low
Cisco O-flag command	'ipv6 nd other-config-flag' under interface sets O=1 in outgoing RAs. <br><br><span style="color:#888">1.8.e.5 · weight: med</span>	ccna domain1 topic1.8 subtopic1.8.e weight_med
Stateful DHCPv6	DHCPv6 server assigns full address and tracks it in a binding table. Like DHCPv4 for IPv6. <br><br><span style="color:#888">1.8.f.1 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.f weight_high
M-flag	Managed Address Configuration. M=1 in RA tells host to get its address from DHCPv6 server. <br><br><span style="color:#888">1.8.f.2 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.f weight_high
SARR process	Solicit → Advertise → Request → Reply. Four-step DHCPv6 exchange. Analogous to DORA in DHCPv4. <br><br><span style="color:#888">1.8.f.3 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.f weight_high
Gateway STILL from RA	Even with stateful DHCPv6, the default gateway comes from the Router Advertisement, NOT DHCPv6. Classic exam gotcha. <br><br><span style="color:#888">1.8.f.4 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.f weight_high
Link-local always auto	FE80:: link-local is always self-generated via SLAAC, regardless of which method is used for the global address. <br><br><span style="color:#888">1.8.f.5 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.f weight_high
Cisco M-flag command	'ipv6 nd managed-config-flag' under interface sets M=1 in outgoing RAs. <br><br><span style="color:#888">1.8.f.6 · weight: med</span>	ccna domain1 topic1.8 subtopic1.8.f weight_med
NDP	Neighbor Discovery Protocol. Uses ICMPv6. Replaces ARP + ICMP Router Discovery + ICMP Redirect from IPv4. <br><br><span style="color:#888">1.8.g.1 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.g weight_high
RS (Type 133)	Router Solicitation. Host → FF02::2 asking for router info. <br><br><span style="color:#888">1.8.g.2 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.g weight_high
RA (Type 134)	Router Advertisement. Router → FF02::1 with prefix, gateway, flags. Also sent periodically every 200s. <br><br><span style="color:#888">1.8.g.3 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.g weight_high
NS (Type 135)	Neighbor Solicitation. Replaces ARP Request. Resolves IPv6 → MAC. Also used for DAD. <br><br><span style="color:#888">1.8.g.4 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.g weight_high
NA (Type 136)	Neighbor Advertisement. Replaces ARP Reply. Carries MAC. Can be unsolicited. <br><br><span style="color:#888">1.8.g.5 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.g weight_high
Solicited-node multicast	FF02::1:FFxx:xxxx. Last 24 bits of unicast. Efficient NS delivery; avoids full broadcast. <br><br><span style="color:#888">1.8.g.6 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.g weight_high
show ipv6 neighbors	Neighbor cache view. IPv6 equivalent of 'show arp'. <br><br><span style="color:#888">1.8.g.7 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.g weight_high
'ipv6 unicast-routing'	GLOBAL command. Master switch for IPv6 routing. Without it, router won't forward IPv6 or send RAs. <br><br><span style="color:#888">1.8.h.1 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.h weight_high
'ipv6 address ... /64'	Interface command. Assigns global unicast. Auto-enables IPv6 and generates a link-local. <br><br><span style="color:#888">1.8.h.2 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.h weight_high
'ipv6 enable'	Interface command. Enables IPv6 and generates ONLY link-local (no global). For local-only comms. <br><br><span style="color:#888">1.8.h.3 · weight: med</span>	ccna domain1 topic1.8 subtopic1.8.h weight_med
'ipv6 address FE80::1 link-local'	Manually set link-local to a memorable value. Good practice for router identity. <br><br><span style="color:#888">1.8.h.4 · weight: med</span>	ccna domain1 topic1.8 subtopic1.8.h weight_med
show ipv6 interface brief	IPv6 analogue of show ip interface brief. Interface, addresses, status. <br><br><span style="color:#888">1.8.h.5 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.h weight_high
show ipv6 route	IPv6 routing table. Codes: C (connected), L (local /128), S (static), O (OSPFv3), D (EIGRP for IPv6). <br><br><span style="color:#888">1.8.h.6 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.h weight_high
ping ipv6-address	Test IPv6 reachability. Same behavior as IPv4 ping. <br><br><span style="color:#888">1.8.h.7 · weight: high</span>	ccna domain1 topic1.8 subtopic1.8.h weight_high
Global Unicast Address (GUA)	Prefix 2000::/3. Starts with 2 or 3. IPv6 equivalent of public IPv4. Internet-routable. <br><br><span style="color:#888">1.9.a.1 · weight: high</span>	ccna domain1 topic1.9 subtopic1.9.a weight_high
Unique Local Address (ULA)	FC00::/7, in practice FD00::/8. Starts with FD. IPv6 equivalent of RFC 1918 private. Not internet-routable. <br><br><span style="color:#888">1.9.a.2 · weight: high</span>	ccna domain1 topic1.9 subtopic1.9.a weight_high
Link-Local Address (LLA)	FE80::/10. Auto-generated on every IPv6-enabled interface. Never forwarded by routers. <br><br><span style="color:#888">1.9.a.3 · weight: high</span>	ccna domain1 topic1.9 subtopic1.9.a weight_high
